"","Metagenomic Diversity index","lon","lat","sample_name","Nation","Bioproject","Depth","min_len","avg_len","max_len","subtype","raster_value","value"
"272",0.906620161885315,-123.6308,39.7392,"SRR5437870","United States","PRJNA365710","0.3 m",NA,NA,NA,"grassland",25882,0.906620161885315
"273",0.905551076482348,-123.6308,39.7392,"SRR5437899","United States","PRJNA365713","0.3 m",NA,NA,NA,"grassland",25882,0.905551076482348
"274",0.938479257512976,-123.6308,39.7392,"SRR5438045","United States","PRJNA365714","0.1 m",NA,NA,NA,"grassland",25882,0.938479257512976
"275",0.922453023630234,-123.6308,39.7392,"SRR5438046","United States","PRJNA365715","0.2 m",NA,NA,NA,"grassland",25882,0.922453023630234
"276",0.921166421287807,-123.6308,39.7392,"SRR5438067","United States","PRJNA365717","0.1 m",NA,NA,NA,"grassland",25882,0.921166421287807
"277",0.896456492386774,-123.6308,39.7392,"SRR5438093","United States","PRJNA365719","0.3 m",NA,NA,NA,"grassland",25882,0.896456492386774
"278",0.893939200938178,-123.6308,39.7392,"SRR5438094","United States","PRJNA365718","0.2 m",NA,NA,NA,"grassland",25882,0.893939200938178
"279",0.924955323689726,-123.6308,39.7392,"SRR5438105","United States","PRJNA365720","0.1 m",NA,NA,NA,"grassland",25882,0.924955323689726
"280",0.915173284165508,-123.6308,39.7392,"SRR5438128","United States","PRJNA365722","0.3 m",NA,NA,NA,"grassland",25882,0.915173284165508
"281",0.912333624898321,-123.6308,39.7392,"SRR5438132","United States","PRJNA365721","0.2 m",NA,NA,NA,"grassland",25882,0.912333624898321
"282",0.918303481877243,-123.6308,39.7392,"SRR5438309","United States","PRJNA365724","0.2 m",NA,NA,NA,"grassland",25882,0.918303481877243
"283",0.901339116580935,-123.6308,39.7392,"SRR5438445","United States","PRJNA365725","0.3 m",NA,NA,NA,"grassland",25882,0.901339116580935
"284",0.925398430836873,-123.6308,39.7392,"SRR5438477","United States","PRJNA365726","0.1 m",NA,NA,NA,"grassland",25882,0.925398430836873
