"","plot","latitude","longitude","area","subsamples","area_m2","Last_fire_y_ago","collection_date","biome","nativeness","warning","delta15N","N_conc_g_kg","P_conc_mg_kg","abund","richness","mold_Eurotiales_Abundance","mold_Mortierellales_Abundance","mold_Mucorales_Abundance","mold_Trichoderma_Abundance","mold_Umbelopsidales_Abundance","lat","lon","sample_name","study_id","raster_value","adiv_richness_new","adiv_chao1_new","adiv_shannon_new","subtype","value"
"1","11MR",57.91,26.32,"Estonia:Sangaste",40,"2500","100","2013-06-11","forest: temperate coniferous forest biome","","","1.958914608","8.607632877","62.25348279",2908,669,3.610729023,24.62173315,0.137551582,6.946354883,6.499312242,57.91,26.32,"11MR","MR",29228,446,663.454545454545,5.02816994093953,"coniferous",5.02816994093953
"2","14MR",59.22,25.18,"Estonia:Ahisilla",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","","0.150616451","3.435929682","11.42307692",2440,518,31.80327869,5.819672131,0.163934426,0.409836066,0.778688525,59.22,25.18,"14MR","MR",28255,374,515.679012345679,4.65049104357281,"coniferous",4.65049104357281
"3","15MR",59.08,27.17,"Estonia:Roostoja",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","molds_above_5SD_median","2.8651746","0.565597278","7.043775701",2630,399,2.927756654,5.741444867,0.038022814,2.281368821,45.39923954,59.08,27.17,"15MR","MR",26086,289,404.238095238095,4.23130596712808,"coniferous",4.23130596712808
"4","16MR",57.83,26.4,"Estonia:Tagula",40,"2500","100","2013-06-11","forest: temperate coniferous forest biome","","","-0.725008735","3.441709103","38.41298063",2006,476,21.88434696,3.090727817,0.099700897,3.589232303,25.42372881,57.83,26.4,"16MR","MR",28970,342,485.149253731343,4.59255924820634,"coniferous",4.59255924820634
"5","17MR",59.02,26.9,"Estonia:Maetsma",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","molds_above_5SD_median","1.832510349","0.906192966","9.888364752",2077,284,20.51035147,9.099662975,0.09629273,0.529610014,38.51709196,59.02,26.9,"17MR","MR",26900,220,258.037735849057,3.98182580703946,"coniferous",3.98182580703946
"6","18MR",59.14,27.44,"Estonia:Ongassaare",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","molds_above_5SD_median","2.148329174","0.43642392","4.861412888",4171,578,5.801965955,4.531287461,0,1.078877967,39.10333253,59.14,27.44,"18MR","MR",28822,355,497.235294117647,4.62267706794414,"coniferous",4.62267706794414
"7","19MR",58.27,27.29,"Estonia:Järvselja",40,"2500","100","2013-05-28","forest: temperate coniferous forest biome","","","0.376897162","10.46354435","65.36928358",2204,452,3.221415608,4.809437387,0.408348457,2.404718693,16.15245009,58.27,27.29,"19MR","MR",28656,328,422.25,4.867998197886,"coniferous",4.867998197886
"8","1MR",58.16,27.13,"Estonia:Säässaare",40,"2500","100","2013-06-19","forest: temperate coniferous forest biome","","molds_above_5SD_median","-0.208587798","1.258939083","37.81437946",3740,514,0.50802139,18.28877005,1.417112299,0.802139037,36.20320856,58.16,27.13,"1MR","MR",26141,323,545.058823529412,4.31081878834197,"coniferous",4.31081878834197
"9","20MR",57.58,26.45,"Estonia:Tursa",40,"2500","100","2013-06-30","forest: temperate coniferous forest biome","","molds_above_5SD_median","1.776478516","0.917764394","41.11921569",3315,392,1.960784314,0.392156863,0,0.512820513,39.42684766,57.58,26.45,"20MR","MR",28241,258,367,3.95886410255626,"coniferous",3.95886410255626
"10","21MR",57.68,26.87,"Estonia:Tüütsi",40,"2500","100","2013-06-05","forest: temperate coniferous forest biome","","molds_above_5SD_median","1.113215754","0.899669909","9.069434133",2523,410,9.076496235,9.512485137,0.435988902,5.231866825,42.2909235,57.68,26.87,"21MR","MR",28542,292,384.776119402985,4.532533541989,"coniferous",4.532533541989
"11","22MR",57.91,27.32,"Estonia:Nohipalo",40,"2500","100","2013-06-05","forest: temperate coniferous forest biome","","molds_above_5SD_median","-0.047058362","0.377469033","44.47789203",2787,356,0,2.691065662,0.035880875,0.035880875,40.15069968,57.91,27.32,"22MR","MR",28337,242,317.677966101695,3.44419443152296,"coniferous",3.44419443152296
"12","23MR",59.46,25.76,"Estonia:Valgejõe",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","","-0.636715308","0.610686119","2.054564926",2927,465,3.074820635,6.388793987,0.136658695,3.48479672,33.65220362,59.46,25.76,"23MR","MR",27029,320,392.549295774648,4.63635521604481,"coniferous",4.63635521604481
"13","24MR",58.07,26.68,"Estonia:Aiaste",40,"2500","100","2013-06-11","forest: temperate coniferous forest biome","","","0.08240216","3.343420791","29.62270023",2660,466,0,16.65413534,0.45112782,0.827067669,10.71428571,58.07,26.68,"24MR","MR",27926,313,428.808823529412,4.57078533424779,"coniferous",4.57078533424779
"14","25MR",58.17,27.04,"Estonia:Akste",40,"2500","100","2013-06-05","forest: temperate coniferous forest biome","","","1.820982213","1.438811858","29.98396621",4559,527,1.908313227,9.059004168,0.767712218,19.01732836,15.0690941,58.17,27.04,"25MR","MR",28522,312,421.375,4.40622454462205,"coniferous",4.40622454462205
"15","26MR",58.25,26.57,"Estonia:Kolga",40,"2500","100","2013-06-19","forest: temperate coniferous forest biome","","","-0.130630416","2.358547915","29.83832021",3362,704,2.676977989,33.28375967,0.713860797,2.46876859,2.736466389,58.25,26.57,"26MR","MR",27536,424,607.010752688172,5.05163816947314,"coniferous",5.05163816947314
"16","27MR",58.19,26.94,"Estonia:Vastse-Kuuste",40,"2500","100","2013-06-04","forest: temperate coniferous forest biome","","molds_above_5SD_median","0.737785351","0.779380648","42.4109589",4396,463,1.478616924,7.37033667,0.045495905,5.323020928,48.45313922,58.19,26.94,"27MR","MR",28917,258,373.188679245283,3.99197705527956,"coniferous",3.99197705527956
"17","28MR",57.55,26.54,"Estonia:Tiitsa",40,"2500","100","2013-06-30","forest: temperate coniferous forest biome","","","2.107043742","3.105192074","22.90455388",3089,527,6.247976691,7.607640013,0.064745872,1.003561023,19.45613467,57.55,26.54,"28MR","MR",28095,340,463.633802816901,4.58626132417405,"coniferous",4.58626132417405
"18","2MR",58.15,27.05,"Estonia:Kiidjärve",40,"2500","100","2013-06-05","forest: temperate coniferous forest biome","","molds_above_5SD_median","-0.02293737","0.524315356","31.46333189",3614,429,1.134477034,1.77089098,0.166021029,0.470392916,55.11898174,58.15,27.05,"2MR","MR",26048,271,409.654545454545,3.57481695908309,"coniferous",3.57481695908309
"19","30MK",58.3,26.67,"Estonia:Laane",40,"2500","100","2013-05-03","forest: temperate coniferous forest biome","","","3.267020123","3.405370571","18.20116917",2533,681,2.605606001,15.67311488,0.276352152,1.026450849,0.118436636,58.3,26.67,"30MK","MK",29126,469,647.019417475728,5.35385121561245,"coniferous",5.35385121561245
"20","31MK",57.83,26.89,"Estonia:Juba",40,"2500","100","2013-06-05","forest: temperate coniferous forest biome","","molds_above_5SD_median","1.2991638","3.339569404","2.981092637",2808,322,3.703703704,3.133903134,0,1.958689459,39.42307692,57.83,26.89,"31MK","MK",28094,231,322.142857142857,3.91681973250789,"coniferous",3.91681973250789
"21","33MR",58.25,26.93,"Estonia:Alaküla",40,"2500","100","2013-06-04","forest: temperate coniferous forest biome","","","-0.709620358","1.138947267","15.12229706",2391,476,2.09117524,13.55081556,0.125470514,2.300292765,28.94186533,58.25,26.93,"33MR","MR",29601,345,437.638888888889,4.89101110953424,"coniferous",4.89101110953424
"22","34MR",59.07,26.35,"Estonia:Orguse",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","","1.846897424","1.674412091","36.18991394",2517,375,4.886769964,11.60111244,0.675407231,3.138657132,0.198649186,59.07,26.35,"34MR","MR",27821,276,356.484375,4.06944258849379,"coniferous",4.06944258849379
"23","35MR",58.66,26.95,"Estonia:Vea",40,"2500","100","2013-06-07","forest: temperate coniferous forest biome","","","1.81239373","0.863321889","12.25834281",4201,686,24.70840276,1.356819805,0.19043085,1.761485361,21.82813616,58.66,26.95,"35MR","MR",29263,412,653.541666666667,4.96371572189938,"coniferous",4.96371572189938
"24","36MR",58.25,26.96,"Estonia:Kurista",40,"2500","100","2013-06-19","forest: temperate coniferous forest biome","","","0.455695843","0.245988594","1.792851986",3962,529,2.044422009,11.93841494,0.782433115,1.968702675,19.30843009,58.25,26.96,"36MR","MR",28175,339,534.109090909091,4.78858676274,"coniferous",4.78858676274
"25","38MR",57.97,27.42,"Estonia:Ilumetsa",40,"2500","100","2013-06-05","forest: temperate coniferous forest biome","","molds_above_5SD_median","0.934180953","0.604090607","24.71838633",2214,373,0,3.206865402,0.090334237,0.496838302,49.05149051,57.97,27.42,"38MR","MR",27754,280,349,4.49201550950893,"coniferous",4.49201550950893
"26","39MR",58.25,26.94,"Estonia:Alaküla",40,"2500","100","2013-06-04","forest: temperate coniferous forest biome","","","1.493526282","0.962604058","8.069637489",3678,455,2.827623709,6.661228929,0.244698206,1.876019576,34.01305057,58.25,26.94,"39MR","MR",29221,279,378.916666666667,4.39483454004049,"coniferous",4.39483454004049
"27","40MR",58.15,27.05,"Estonia:Akste",40,"2500","100","2013-04-25","forest: temperate coniferous forest biome","","molds_above_5SD_median","-0.021111798","0.950796375","24.17325066",2377,298,7.740849811,1.472444257,0.084139672,0.799326883,43.7946992,58.15,27.05,"40MR","MR",26048,227,296.448979591837,3.6385976364673,"coniferous",3.6385976364673
"28","41MR",58.27,27.33,"Estonia:Haavametsa",40,"2500","100","2013-05-14","forest: temperate coniferous forest biome","","molds_above_5SD_median","1.94830018","0.329223074","25.68636103",2038,377,1.472031403,2.257114818,0.294406281,0.981354269,50.34347399,58.27,27.33,"41MR","MR",28861,285,365,4.38971822802128,"coniferous",4.38971822802128
"29","42MR",58.27,27.29,"Estonia:Järvselja",40,"2500","100","2013-05-29","forest: temperate coniferous forest biome","","","1.867892537","2.231049125","11.6436803",3634,538,2.806824436,18.38194827,0.220143093,2.999449642,11.33736929,58.27,27.29,"42MR","MR",28656,320,445.101694915254,4.65118173221108,"coniferous",4.65118173221108
"30","43MR",58.22,26.84,"Estonia:Sirvaku",40,"2500","100","2013-05-03","forest: temperate coniferous forest biome","","","1.148217055","1.907952789","47.37784615",4373,742,0.251543563,15.64143609,0.091470386,4.047564601,20.48936657,58.22,26.84,"43MR","MR",27794,406,575.478723404255,4.74058679270247,"coniferous",4.74058679270247
"31","44MR",58.12,26.63,"Estonia:Ivaste",40,"2500","100","2013-05-03","forest: temperate coniferous forest biome","","molds_above_5SD_median","-0.149479996","2.206203719","46.16558071",2609,475,0.076657723,3.564584132,0,0.651590648,49.36757378,58.12,26.63,"44MR","MR",29828,339,430.181818181818,4.66960535696364,"coniferous",4.66960535696364
"32","45MR",58.26,26.93,"Estonia:Paluküla",40,"2500","100","2012-11-26","forest: temperate coniferous forest biome","","molds_above_5SD_median","-0.221508978","1.562310885","24.43627611",2180,357,2.339449541,6.926605505,0.688073394,0.688073394,60.09174312,58.26,26.93,"45MR","MR",28649,266,337.541666666667,3.75150533038955,"coniferous",3.75150533038955
"33","46MR",58.25,26.82,"Estonia:Ignase",40,"2500","100","2012-11-26","forest: temperate coniferous forest biome","","","-0.746508256","0.4584039","19.47713371",2221,511,0.090049527,22.37730752,0.135074291,1.800990545,14.99324629,58.25,26.82,"46MR","MR",28686,389,530.939759036145,4.96288069832434,"coniferous",4.96288069832434
"34","47MR",57.92,27.19,"Estonia:Jõeveere",40,"2500","100","2013-04-25","forest: temperate coniferous forest biome","","molds_above_5SD_median","1.297728559","2.293428286","30.09485463",2131,294,8.634443923,1.73627405,0.703894885,1.595495073,41.34209291,57.92,27.19,"47MR","MR",27180,224,261.631578947368,3.9028655369255,"coniferous",3.9028655369255
"35","48MR",58.16,27.05,"Estonia:Akste",40,"2500","100","2013-04-25","forest: temperate coniferous forest biome","","molds_above_5SD_median","-5.277568629","0.068297946","11.46566561",2931,366,0.170590242,2.456499488,0.068236097,0,58.99010577,58.16,27.05,"48MR","MR",29652,280,367.068965517241,4.38960330593124,"coniferous",4.38960330593124
"36","4MR",58.15,27.13,"Estonia:Säässaare",40,"2500","100","2013-06-19","forest: temperate coniferous forest biome","","","-0.905955996","1.373464489","1.425513374",3823,477,4.420612085,11.90164792,0.209259744,2.275699712,34.58017264,58.15,27.13,"4MR","MR",25654,298,503.5,4.37441259644199,"coniferous",4.37441259644199
"37","50MR",57.92,27.18,"Estonia:Paidra",40,"2500","100","2013-04-24","forest: temperate coniferous forest biome","","","-0.00309912","2.690058853","10.31474151",2745,412,1.639344262,5.355191257,0,1.967213115,36.79417122,57.92,27.18,"50MR","MR",27244,286,407.105263157895,4.14466565010285,"coniferous",4.14466565010285
"38","5MR",57.99,26.67,"Estonia:Karste",40,"2500","100","2013-06-11","forest: temperate coniferous forest biome","","","0.733637269","7.069153187","59.10401267",2037,463,1.669121257,22.43495336,0.098183603,1.129111438,6.872852234,57.99,26.67,"5MR","MR",28912,365,506,4.92510598875601,"coniferous",4.92510598875601
"39","6MR",58.09,26.79,"Estonia:Piigaste",40,"2500","100","2013-06-11","forest: temperate coniferous forest biome","","","0.299555896","1.892061487","27.30535557",2695,506,2.93135436,8.608534323,0.148423006,3.265306122,22.30055659,58.09,26.79,"6MR","MR",28009,349,437.148148148148,4.93523583793488,"coniferous",4.93523583793488
"40","7MR",57.83,26.4,"Estonia:Tagula",40,"2500","100","2013-06-11","forest: temperate coniferous forest biome","","molds_above_5SD_median","0.417610983","3.02427565","34.63213483",3021,482,3.773584906,6.984442238,0.132406488,1.423369745,48.62628269,57.83,26.4,"7MR","MR",28970,325,508.766666666667,4.47206635161466,"coniferous",4.47206635161466
"41","8MK",57.95,26.64,"Estonia:Rebaste",40,"2500","100","2013-06-11","forest: temperate coniferous forest biome","","","1.926837376","3.052607275","37.79855808",3041,450,0,18.71095035,0.098651759,0.526142716,27.458073,57.95,26.64,"8MK","MK",25398,292,430.958333333333,4.46135417721809,"coniferous",4.46135417721809
"42","9MR",57.59,26.69,"Estonia:Vastse-Roosa",40,"2500","100","2013-06-30","forest: temperate coniferous forest biome","","","0.79458144","2.560295112","10.03324731",2180,554,1.972477064,15.73394495,1.972477064,0.871559633,21.46788991,57.59,26.69,"9MR","MR",28205,412,519.1,4.97734719553221,"coniferous",4.97734719553221
"43","A10",58.41,26.65,"Estonia",40,"2500","100","2017-04-18","forest: temperate coniferous forest biome","","","0.012207248","2.002427695","4.46199688",3598,566,0,14.61923291,0.111172874,0.528071151,3.891050584,58.41,26.65,"A10","A",29582,328,471.4375,4.71704839105847,"coniferous",4.71704839105847
"44","A11",58.54,27.18,"Estonia",40,"2500","100","2017-04-20","forest: temperate coniferous forest biome","","","3.950002005","1.579965783","9.30272997",3234,592,0.123685838,10.29684601,1.23685838,0.340136054,1.113172542,58.54,27.18,"A11","A",24938,376,502.988636363636,5.00150882065726,"coniferous",5.00150882065726
"45","A12",58.57,26.98,"Estonia",40,"2500","100","2017-04-20","forest: temperate coniferous forest biome","","","1.40959852","1.577629117","18.45407035",2644,580,0.037821483,12.29198185,0.226928896,0.491679274,2.420574887,58.57,26.98,"A12","A",26520,392,549.037037037037,5.08923807139681,"coniferous",5.08923807139681
"46","A13",58.79,26.7,"Estonia",40,"2500","100","2017-04-27","forest: temperate coniferous forest biome","","","1.850183551","1.620373374","4.304454726",2941,476,0.03400204,6.630397824,0.13600816,0.170010201,0.816048963,58.79,26.7,"A13","A",27747,304,392.59649122807,4.73009872854127,"coniferous",4.73009872854127
"47","A14",58.68,25.94,"Estonia",40,"2500","100","2017-04-26","forest: temperate coniferous forest biome","","","2.49708067","2.583982494","14.02533546",2951,575,0,18.70552355,2.033209082,0.101660454,2.74483226,58.68,25.94,"A14","A",28898,374,557.375,4.95103142659798,"coniferous",4.95103142659798
"48","A15",58.2,26.21,"Estonia",40,"2500","100","2017-05-30","forest: temperate coniferous forest biome","","","0.61993927","0.926484269","8.856990937",2859,478,0.034977265,6.400839454,0,0.104931794,0.454704442,58.2,26.21,"A15","A",28063,312,411.092307692308,4.73969351726674,"coniferous",4.73969351726674
"49","A16",57.93,26.92,"Estonia",40,"2500","100","2017-06-02","forest: temperate coniferous forest biome","","","-0.039450446","0.692945659","14.46084507",5327,617,0.488079595,6.62661911,0.09386146,0.168950629,8.59770978,57.93,26.92,"A16","A",28637,327,587.82,4.25456076123598,"coniferous",4.25456076123598
"50","A17",58.26,26.44,"Estonia",40,"2500","100","2017-05-30","forest: temperate coniferous forest biome","","","-0.29547342","0.961504536","14.22822418",2736,598,0.036549708,10.0877193,0.694444444,0.109649123,0.950292398,58.26,26.44,"A17","A",26610,414,575.241379310345,5.19277703829828,"coniferous",5.19277703829828
"51","A18",58.25,26.44,"Estonia",40,"2500","100","2017-05-30","forest: temperate coniferous forest biome","","","0.56801082","1.502568935","10.29028986",2746,588,0.400582666,9.650400583,0.218499636,0.291332848,4.69774217,58.25,26.44,"A18","A",27622,381,562.439024390244,4.81081494140129,"coniferous",4.81081494140129
"52","A19",57.94,27.06,"Estonia",40,"2500","100","2017-06-02","forest: temperate coniferous forest biome","","","0.585184596","1.582439362","37.17272727",2745,600,0.072859745,8.670309654,0.692167577,0.218579235,8.233151184,57.94,27.06,"A19","A",29142,441,609.844660194175,4.96594236685387,"coniferous",4.96594236685387
"53","A2",58.46,26.82,"Estonia",40,"2500","100","2016-11-17","forest: temperate coniferous forest biome","","","-0.49380724","0.934659758","26.27804971",3920,664,0.280612245,7.755102041,0.255102041,0.56122449,17.5255102,58.46,26.82,"A2","A",29522,390,545.866666666667,4.86595889550544,"coniferous",4.86595889550544
"54","A20",58.07,26.75,"Estonia",40,"2500","100","2017-06-01","forest: temperate coniferous forest biome","","","-0.891302089","0.96120506","8.756074125",2350,488,0,4.680851064,0.255319149,0,20.59574468,58.07,26.75,"A20","A",27578,358,469.567567567568,4.95950330492185,"coniferous",4.95950330492185
"55","A22",57.92,27.03,"Estonia",40,"2500","100","2017-06-02","forest: temperate coniferous forest biome","","","0.581273942","2.278612212","10.1052439",2925,697,0.068376068,13.81196581,0.034188034,0.615384615,0.752136752,57.92,27.03,"A22","A",29303,460,633.532110091743,5.29597011424077,"coniferous",5.29597011424077
"56","A23",57.93,26.91,"Estonia",40,"2500","100","2017-06-02","forest: temperate coniferous forest biome","","","0.749017877","1.813129498","7.066608108",3871,616,0,8.473262723,0.12916559,0.258331181,10.56574529,57.93,26.91,"A23","A",28586,360,515.012658227848,4.85365282257312,"coniferous",4.85365282257312
"57","A24",57.97,26.06,"Estonia",40,"2500","100","2017-06-08","forest: temperate coniferous forest biome","","","1.250205068","1.973578951","2.879417071",4895,419,0,3.227783453,0.102145046,0,10.45965271,57.97,26.06,"A24","A",27574,231,378.567567567568,3.69062351493775,"coniferous",3.69062351493775
"58","A25",58.78,26.35,"Estonia",40,"2500","100","2017-05-02","forest: temperate coniferous forest biome","","","1.528408398","2.810778454","1.720453258",4461,732,0,6.792199059,0,0.022416499,3.160726295,58.78,26.35,"A25","A",28849,398,616.963414634146,4.81419894686338,"coniferous",4.81419894686338
"59","A26",58.28,26.38,"Estonia",40,"2500","100","2017-05-30","forest: temperate coniferous forest biome","","","-0.956561393","1.146021428","28.29364486",5079,637,0.059066745,4.764717464,0.137822406,0,0.413467218,58.28,26.38,"A26","A",28504,329,500.923076923077,4.72112038188739,"coniferous",4.72112038188739
"60","A27",58.27,26.39,"Estonia",40,"2500","100","2017-05-30","forest: temperate coniferous forest biome","","","-0.157663476","1.642223617","9.248955582",4293,499,0,1.770323783,0,0.046587468,0.34940601,58.27,26.39,"A27","A",27471,304,421.15873015873,4.52789873700453,"coniferous",4.52789873700453
"61","A28",58.78,26.36,"Estonia",40,"2500","100","2017-05-02","forest: temperate coniferous forest biome","","","1.611563718","2.105201791","2.8546786",9899,1110,0,18.43620568,0.282856854,0,0.929386807,58.78,26.36,"A28","A",28147,411,799.651515151515,4.81754936446279,"coniferous",4.81754936446279
"62","A3",58.46,26.81,"Estonia",40,"2500","100","2016-12-07","forest: temperate coniferous forest biome","","","-0.842075693","2.944605634","9.590726183",3280,753,2.62195122,6.829268293,0.365853659,0.274390244,0.975609756,58.46,26.81,"A3","A",29497,501,796,5.41333428751411,"coniferous",5.41333428751411
"63","A30",58.75,26.51,"Estonia:Kuremaa Metskond",40,"2500","100","2018-05-11","forest: temperate coniferous forest biome","","","1.555497667","1.811098567","4.939672131",4187,701,0.023883449,21.92500597,1.265822785,0.023883449,12.27609267,58.75,26.51,"A30","A",28910,398,626.740740740741,4.69478271898779,"coniferous",4.69478271898779
"64","A31",58.17,26.14,"Estonia",40,"2500","100","2017-05-30","forest: temperate coniferous forest biome","","","0.39979629","0.372238018","25.65356815",3473,547,0,9.645839332,0.489490354,0,3.973509934,58.17,26.14,"A31","A",28881,346,521.514705882353,4.69291336501194,"coniferous",4.69291336501194
"65","A32",58.25,27.29,"Estonia",40,"2500","100","2017-06-28","forest: temperate coniferous forest biome","","","2.180863213","2.543448613","4.501149425",4738,725,0.042211904,21.02152807,0.063317856,0,3.799071338,58.25,27.29,"A32","A",25793,415,683.076923076923,4.94248650751563,"coniferous",4.94248650751563
"66","A4",58.55,26.87,"Estonia",40,"2500","100","2016-11-17","forest: temperate coniferous forest biome","","","1.378806699","1.984861312","4.107835821",2661,476,0,8.868846298,0,0,5.035700864,58.55,26.87,"A4","A",28838,332,482.75,4.89152969798772,"coniferous",4.89152969798772
"67","A5",58.52,26.96,"Estonia",40,"2500","100","2016-12-01","forest: temperate coniferous forest biome","","","0.584925286","2.045028102","10.61564033",11865,977,0.00842815,8.234302571,0.02528445,0,9.675516224,58.52,26.96,"A5","A",29223,350,711.818181818182,4.42139889979511,"coniferous",4.42139889979511
"68","A6",58.75,26.66,"Estonia",40,"2500","100","2017-04-27","forest: temperate coniferous forest biome","","","1.076310574","2.39241417","7.300772881",2931,444,0,11.29307404,0.170590242,0,6.209484817,58.75,26.66,"A6","A",26782,316,447.48275862069,4.72999602304203,"coniferous",4.72999602304203
"69","A7",58.42,27.01,"Estonia",40,"2500","100","2017-04-18","forest: temperate coniferous forest biome","","","2.534907556","1.847083934","4.017779149",3357,569,0,7.566279416,0.029788502,0,0.863866548,58.42,27.01,"A7","A",28799,349,485.8,4.05981822583922,"coniferous",4.05981822583922
"70","A8",58.34,26.89,"Estonia:Kaagvere",40,"2500","100","2017-04-18","forest: temperate coniferous forest biome","","","0.86709647","1.159319182","66.61410891",2879,503,0,8.75303925,0.034734283,0,0.729419937,58.34,26.89,"A8","A",28365,331,482.537313432836,4.81092355916281,"coniferous",4.81092355916281
"71","A9",58.56,26.84,"Estonia",40,"2500","100","2017-04-28","forest: temperate coniferous forest biome","","","0.421142195","1.804731549","2.421702128",3678,513,0,7.313757477,0,0.02718869,9.434475258,58.56,26.84,"A9","A",27018,317,482.622641509434,4.76681258168077,"coniferous",4.76681258168077
"72","AV101",-0.62,-72.4,"Colombia:Puerto Santander:Cascada",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","1.668500511","7.402821348","12.00857756",5515,1313,0.725294651,2.520398912,0.072529465,7.126019946,0.163191296,-0.62,-72.4,"AV101","AV",26362,673,1119.39189189189,5.75940203299902,"broadleaf",5.75940203299902
"73","AV102",-0.62,-72.4,"Colombia:Puerto Santander:Sitio El Infierno",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","2.068819765","15.00397663","46.61715332",3915,1203,1.174968072,5.670498084,0.178799489,14.09961686,0,-0.62,-72.4,"AV102","AV",26362,658,1131.69047619048,5.71548088010108,"broadleaf",5.71548088010108
"74","AV103",-0.63,-72.09,"Colombia:Amazonas:Pena Roja",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","3.386746745","15.84105379","16.394453",4691,1609,1.620123641,3.560008527,0.213174163,6.821573225,0.426348327,-0.63,-72.09,"AV103","AV",23292,780,1427.27922077922,6.0852265879155,"broadleaf",6.0852265879155
"75","AV104",-0.56,-72.11,"Colombia:Amazonas:Villa Azul:Sabana",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","-0.452085563","7.061360046","53.10220907",5230,1084,0.382409178,0.707456979,0.057361377,3.001912046,0.095602294,-0.56,-72.11,"AV104","AV",19103,571,899.270676691729,4.99151515622021,"broadleaf",4.99151515622021
"76","AV105",-4,-69.9,"Colombia:Amazonas:El Zafire",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","3.006785197","17.61327676","65.55253812",5715,1563,1.627296588,0.94488189,0.122484689,3.867016623,0.612423447,-4,-69.9,"AV105","AV",23229,705,1213.13664596273,5.53063184076696,"broadleaf",5.53063184076696
"77","AV106",-4,-69.9,"Colombia:Amazonas:El Zafire",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","2.896050704","19.55981222","84.96202532",6365,1605,2.890809112,1.586802828,0.392772977,6.802827965,2.183817753,-4,-69.9,"AV106","AV",23229,732,1275.58064516129,5.92853470719633,"broadleaf",5.92853470719633
"78","AV107",-3.99,-69.9,"Colombia:Amazonas:El Zafire",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","1.697052943","21.68039634","86.88591149",5511,1423,2.485937216,1.288332426,0.25403738,9.090909091,0.925421884,-3.99,-69.9,"AV107","AV",21188,703,1273.33834586466,5.87077107303859,"broadleaf",5.87077107303859
"79","AV108",-0.64,-72.4,"Colombia:Puerto Santana:Quebrada",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","0.137680442","14.68037535","38.7413159",7433,1732,1.210816629,2.394726221,0.053814072,1.210816629,0.174895735,-0.64,-72.4,"AV108","AV",22869,775,1478.04347826087,6.08620533569982,"broadleaf",6.08620533569982
"80","AV109",-0.63,-72.4,"Colombia:Puerto Santander:Loma",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","2.080437302","9.855672276","23.36706532",6023,1066,5.429188112,0.996181305,0.149427196,2.324423045,0.232442304,-0.63,-72.4,"AV109","AV",27871,454,838.395604395604,3.80138248449792,"broadleaf",3.80138248449792
"81","AV110",-0.63,-72.39,"Colombia:Puerto Santander:Cascada",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","2.136316857","6.775916088","13.62992922",7852,1623,3.285787061,1.43912379,0.114620479,3.196637799,0.534895568,-0.63,-72.39,"AV110","AV",28332,663,1301.67692307692,5.40711386297451,"broadleaf",5.40711386297451
"82","AV111",-0.64,-72.08,"Colombia:Amazonas:Pena Roja",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","3.106022628","19.68773494","64.2037958",3546,625,3.553299492,0.817822899,0.253807107,3.778905809,0.479413424,-0.64,-72.08,"AV111","AV",21668,382,573.065217391304,3.71456204650984,"broadleaf",3.71456204650984
"83","AV112",-0.64,-72.07,"Colombia:Amazonas:Pena Roja",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","2.234944912","19.92858746","54.98832843",9319,1621,8.756304324,2.113960725,0.654576671,7.511535572,1.212576457,-0.64,-72.07,"AV112","AV",19780,652,1184.05426356589,5.58582177652754,"broadleaf",5.58582177652754
"84","AV113",-0.64,-72.07,"Colombia:Amazonas:Pena Roja",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","1.979424743","11.54190031","52.81797025",7213,1345,9.136281714,7.680576736,0.748648274,6.599195896,0.804103702,-0.64,-72.07,"AV113","AV",19780,601,1114.25688073394,5.42734583735858,"broadleaf",5.42734583735858
"85","AV114",-0.93,-71.61,"Colombia:Meta:Mezcia",40,"2500","100","2012-04","forest: tropical broadleaf forest biome","","","3.925991574","12.35604238","22.90650407",10466,1344,12.2587426,0.984139117,0.143321231,26.54309192,2.608446398,-0.93,-71.61,"AV114","AV",24867,527,942.320388349515,5.11801948915792,"broadleaf",5.11801948915792
