"","plot","latitude","longitude","area","subsamples","area_m2","Last_fire_y_ago","collection_date","biome","nativeness","warning","delta15N","N_conc_g_kg","P_conc_mg_kg","abund","richness","mold_Eurotiales_Abundance","mold_Mortierellales_Abundance","mold_Mucorales_Abundance","mold_Trichoderma_Abundance","mold_Umbelopsidales_Abundance","lat","lon","sample_name","study_id","raster_value","adiv_richness_new","adiv_chao1_new","adiv_shannon_new","subtype","value"
"2034","S863",35.35,74.8,"Pakistan:Rama Meadows",40,"2500","100","2018-07-18","forest: temperate coniferous forest biome","","","1.934120771","2.202677085","9.228595271",10343,1106,3.760997776,2.233394566,0.222372619,0.077346998,7.405975056,35.35,74.8,"S863","S",29135,403,716.544117647059,4.88511200729417,"coniferous",4.88511200729417
"2035","S865",0.29,25.3,"Democratic Republic of the Congo:Tshopo:Yoko",40,"2500","100","2018-08","forest: tropical broadleaf forest biome","","","9.996060323","1.186498459","1.470092166",4009,308,10.62609129,13.74407583,4.315290596,4.988775256,0,0.29,25.3,"S865","S",21677,234,268.894736842105,4.64592816369904,"broadleaf",4.64592816369904
"2036","S866",0.29,25.3,"Democratic Republic of the Congo:Tshopo:Yoko",40,"2500","100","2018-08","forest: tropical broadleaf forest biome","","","11.13682152","1.378411843","3.157740113",2172,234,6.629834254,17.40331492,6.307550645,7.73480663,0,0.29,25.3,"S866","S",21677,208,232.241379310345,4.69466010241608,"broadleaf",4.69466010241608
"2037","S867",0.29,25.31,"Democratic Republic of the Congo:Tshopo:Yoko",40,"2500","100","2018-08","forest: tropical broadleaf forest biome","","","11.32092128","0.713234066","7.630806648",5097,407,5.414949971,16.2644693,1.5891701,5.51304689,0,0.29,25.31,"S867","S",20645,294,387.288461538462,4.73739222899616,"broadleaf",4.73739222899616
"2038","S868",0.3,25.3,"Democratic Republic of the Congo:Tshopo:Yoko",40,"2500","100","2018-08","forest: tropical broadleaf forest biome","","","6.602449554","1.569187643","0.343402126",4883,345,0.942043826,7.782101167,2.027442146,2.785173049,0.061437641,0.3,25.3,"S868","S",18903,208,266.4,2.90752518431958,"broadleaf",2.90752518431958
"2039","S869",0.29,25.32,"Democratic Republic of the Congo:Tshopo:Yoko",40,"2500","100","2018-08","forest: tropical broadleaf forest biome","","","7.179576046","1.374936572","12.57343234",2692,319,2.377414562,32.65230312,0.59435364,2.526002972,0.074294205,0.29,25.32,"S869","S",16454,247,281.263157894737,4.0995276485245,"broadleaf",4.0995276485245
"2040","S870",0.29,25.32,"Democratic Republic of the Congo:Tshopo:Yoko",40,"2500","100","2018-08","forest: tropical broadleaf forest biome","","","6.865995815","5.524543725","3.963448276",6948,648,1.050662061,26.03626943,0.287852619,4.850316638,0.993091537,0.29,25.32,"S870","S",16454,379,532.523255813953,4.77048416084979,"broadleaf",4.77048416084979
"2041","S871",-2.31,28.76,"Democratic Republic of the Congo:Sud-Kivu:PNKB",40,"2500","100","2018-08","forest: tropical broadleaf forest biome","","","5.203705504","11.19325923","33.98958652",5292,924,0.07558579,30.08314437,0.037792895,0.925925926,4.308390023,-2.31,28.76,"S871","S",25170,458,813.879120879121,4.68160967752532,"broadleaf",4.68160967752532
"2042","S872",-2.32,28.74,"Democratic Republic of the Congo:Sud-Kivu:PNKB",40,"2500","100","2018-08","forest: tropical broadleaf forest biome","","","6.356564227","8.740150979","29.92605531",6562,1466,3.672660774,23.78847912,0.060957025,1.523925632,0,-2.32,28.74,"S872","S",27347,574,1195.34615384615,5.05426002923175,"broadleaf",5.05426002923175
"2043","S873",-2.32,28.74,"Democratic Republic of the Congo:Sud-Kivu:PNKB",40,"2500","100","2018-08","forest: tropical broadleaf forest biome","","","7.179349574","12.29251062","13.34226563",6277,1535,1.258563008,26.4776167,0.589453561,0.796558866,0,-2.32,28.74,"S873","S",27347,614,1319.98039215686,5.35208625186929,"broadleaf",5.35208625186929
